coingecko_token_id,symbol,chain,contract_address,decimals
ethereum,ETH,ethereum,eip155:1:native,18
ethereum,ETH,arbitrum,eip155:42161:native,18
ethereum,ETH,base,eip155:8453:native,18
ethereum,ETH,optimism,eip155:10:native,18
ethereum,ETH,sei,eip155:1329:native,18
frax,S*FRAX,ethereum,0xfa0f307783ac21c39e939acff795e27b650f6e68,18
nusd,S*sUSD,ethereum,0x590d4f8a68583639f215f675f3a259ed84790580,18
usdd,S*USDD,ethereum,0x692953e758c3669290cb1677180c64183cee374e,18
metis-token,S*Metis,ethereum,0xd8772edbf88bba2667ed011542343b0eddacda47,18
woo-network,S*WOO,ethereum,0x1ce66c52c36757daf6551edc04800a0ec9983a09,18
tether,S*USDT,ethereum,0x38ea452219524bb87e18de1c24d3bb59510bd783,6
liquity-usd,S*LUSD,ethereum,0xe8f55368c82d38bbbbdb5533e7f56afc2e978cc2,6
ethereum,S*SGETH,ethereum,0x101816545f6bd2b1076434b54383a1e633390a2e,18
mimatic,S*MAI,ethereum,0x9cef9a0b1be0d289ac9f4a98ff317c33eaa84eb8,6
dai,S*DAI,ethereum,0x0faf1d2d3ced330824de3b8200fc8dc6e397850d,18
usd-coin,S*USDC,ethereum,0xdf0770df86a8034b3efef0a1bb3c889b8332ff56,6
woo-network,S*WOO,arbitrum,0x1ae7ca4092c0027bbbb1ce99934528acf6e7074b,18
mimatic,S*MAI,arbitrum,0xf39b7be294cb36de8c510e267b82bb588705d977,6
frax,S*FRAX,arbitrum,0xaa4bf442f024820b2c28cd0fd72b82c63e66f56c,18
usd-coin,S*USDC,arbitrum,0x892785f33cdee22a30aef750f285e18c18040c3e,6
tether,S*USDT,arbitrum,0xb6cfcf89a7b22988bfc96632ac2a9d6dab60d641,6
ethereum,S*SGETH,arbitrum,0x915a55e36a01285a14f05de6e81ed9ce89772f8e,18
liquity-usd,S*LUSD,arbitrum,0x600e576f9d853c95d58029093a16ee49646f3ca5,6
tether,S*USDt,avalanche,0xeae5c2f6b25933deb62f754f239111413a0a25ef,6
frax,S*FRAX,avalanche,0x1c272232df0bb6225da87f4decd9d37c32f63eea,18
tether,S*USDt,avalanche,0x29e38769f23701a2e4a8ef0492e19da4604be62c,6
woo-network,S*WOO.e,avalanche,0x45524dc9d05269e1101ad7cff1639ae2aa20989d,18
usd-coin,S*USDC,avalanche,0x1205f31718499dbf1fca446663b532ef87481fe1,6
mimatic,S*MAI,avalanche,0x8736f92646b2542b3e5f3c63590ca7fe313e283b,6
ethereum,S*SGETH,base,0x28fc411f9e1c480ad312b3d9c60c22b965015c6b,18
usd-coin,S*USDbC,base,0x4c80e24119cfb836cdf0a6b53dc23f04f7e652ca,6
tether,S*USDT,bsc,0x9aa83081aa06af7208dcc7a4cb72c94d057d2cda,6
woo-network,S*WOO,bsc,0x5a0f550bfcade1d898034d57a6f72e7aef32ce79,18
busd,S*BUSD,bsc,0x98a5737749490856b401db5dc27f522fc314a4e1,18
usdd,S*USDD,bsc,0x4e145a589e4c03cbe3d28520e4bf3089834289df,18
mimatic,S*MAI,bsc,0x7bfd7f2498c4796f10b6c611d9db393d3052510c,6
metis-token,S*Metis,bsc,0xd4cec732b3b135ec52a3c0bc8ce4b8cfb9dace46,18
dai,S*DAI,optimism,0x165137624f1f692e69659f944bf69de02874ee27,18
usd-coin,S*USDC,optimism,0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,6
liquity-usd,S*LUSD,optimism,0x3533f5e279bdbf550272a199a223da798d9eff78,6
mimatic,S*MAI,optimism,0x5421fa1a48f9ff81e4580557e86c7c0d24c18036,6
frax,S*FRAX,optimism,0x368605d9c6243a80903b9e326f1cddde088b8924,18
ethereum,S*SGETH,optimism,0xd22363e3762ca7339569f3d33eade20127d5f98c,18
woo-network,S*WOO,optimism,0xb0a7e3b4aedb6f103bc43f2603c6e73151c8886b,18
nusd,S*sUSD,optimism,0x2f8bc9081c7fcfec25b9f41a50d97eaa592058ae,18
woo-network,S*WOO,polygon,0xeae5c2f6b25933deb62f754f239111413a0a25ef,18
tether,S*USDT,polygon,0x29e38769f23701a2e4a8ef0492e19da4604be62c,6
mimatic,S*miMATIC,polygon,0x8736f92646b2542b3e5f3c63590ca7fe313e283b,6
dai,S*DAI,polygon,0x1c272232df0bb6225da87f4decd9d37c32f63eea,18
usd-coin,S*USDC,polygon,0x1205f31718499dbf1fca446663b532ef87481fe1,6
usd-coin,variableDebtEthUSDC,ethereum,0x72E95b8931767C79bA4EeE721354d6E99a61D004,6
tether,variableDebtEthUSDT,ethereum,0x6df1C1E379bC5a00a7b4C6e67A203333772f45A8,6
ethereum,variableDebtEthWETH,ethereum,0xeA51d7853EEFb32b6ee06b1C12E6dcCA88Be0fFE,18
bitcoin,WBTC,solana,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,8
ethereum,ETH,solana,Bgarxg65CEjN3kosjCW5Du3wEqvV3dpCGDR3a2HRQsYJ,18usd-ethena,S*USDe,ethereum,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,18

